Year,State ab,State,Population,Index offenses total,Violent crime total,Murder and nonnegligent Manslaughter,Rape (legacy),Rape (revised),Rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1962,WI,Wisconsin,4092000,48212,1174,37,98.0,0.0,98,348,691,47038,8757,34041,4240,1178.2,28.7,0.9,2.4,8.5,16.9,1149.5,214.0,831.9,103.6
1962,WY,Wyoming,365000,5867,156,12,28.0,0.0,28,51,65,5711,1038,4177,496,1607.4,42.7,3.3,7.7,14.0,17.8,1564.7,284.4,1144.4,135.9
1963,AL,Alabama,3347000,44636,6115,340,192.0,0.0,192,828,4755,38521,12614,22874,3033,1333.6,182.7,10.2,5.7,24.7,142.1,1150.9,376.9,683.4,90.6
1963,AK,Alaska,248000,5115,272,16,37.0,0.0,37,55,164,4843,946,3010,887,2062.5,109.7,6.5,14.9,22.2,66.1,1952.8,381.5,1213.7,357.7
1963,AZ,Arizona,1559000,52921,3027,93,222.0,0.0,222,897,1815,49894,12944,31213,5737,3394.6,194.2,6.0,14.2,57.5,116.4,3200.4,830.3,2002.1,368.0
1963,AR,Arkansas,1858000,21940,1991,137,113.0,0.0,113,466,1275,19949,6087,12315,1547,1180.9,107.2,7.4,6.1,25.1,68.6,1073.7,327.6,662.8,83.3
1963,CA,California,17590000,666128,42419,673,3080.0,0.0,3080,16458,22208,623709,175703,384289,63717,3787.0,241.2,3.8,17.5,93.6,126.3,3545.8,998.9,2184.7,362.2
1963,CO,Colorado,1961000,52179,2555,94,285.0,0.0,285,1340,836,49624,13149,30465,6010,2660.8,130.3,4.8,14.5,68.3,42.6,2530.5,670.5,1553.5,306.5
1963,CT,Connecticut,2666000,42045,1192,47,88.0,0.0,88,366,691,40853,12553,23397,4903,1577.1,44.7,1.8,3.3,13.7,25.9,1532.4,470.9,877.6,183.9
1963,DE,Delaware,476000,11316,424,24,43.0,0.0,43,181,176,10892,3366,6559,967,2377.3,89.1,5.0,9.0,38.0,37.0,2288.2,707.1,1377.9,203.2
1963,DC,District of Columbia,798000,25584,4740,95,87.0,0.0,87,1707,2851,20844,6984,10395,3465,3206.0,594.0,11.9,10.9,213.9,357.3,2612.0,875.2,1302.6,434.2
1963,FL,Florida,5652000,157463,12150,463,398.0,0.0,398,4017,7272,145313,46604,89034,9675,2786.0,215.0,8.2,7.0,71.1,128.7,2571.0,824.6,1575.3,171.2
1963,GA,Georgia,4140000,69860,7019,390,396.0,0.0,396,1410,4823,62841,19400,34843,8598,1687.4,169.5,9.4,9.6,34.1,116.5,1517.9,468.6,841.6,207.7
1963,HI,Hawaii,694000,17645,215,12,18.0,0.0,18,80,105,17430,4944,10812,1674,2542.5,31.0,1.7,2.6,11.5,15.1,2511.5,712.4,1557.9,241.2
1963,ID,Idaho,713000,13406,362,18,39.0,0.0,39,87,218,13044,2405,9939,700,1880.3,50.8,2.5,5.5,12.2,30.6,1829.5,337.3,1394.0,98.2
1963,IL,Illinois,10182000,263232,33627,523,1416.0,0.0,1416,19193,12495,229605,55117,135634,38854,2585.3,330.3,5.1,13.9,188.5,122.7,2255.0,541.3,1332.1,381.6
1963,IN,Indiana,4694000,96236,4819,130,380.0,0.0,380,2219,2090,91417,25294,56127,9996,2050.2,102.7,2.8,8.1,47.3,44.5,1947.5,538.9,1195.7,213.0
1963,IA,Iowa,2780000,32784,629,35,100.0,0.0,100,253,241,32155,7516,22374,2265,1179.3,22.6,1.3,3.6,9.1,8.7,1156.7,270.4,804.8,81.5
1963,KS,Kansas,2225000,36535,1831,57,148.0,0.0,148,648,978,34704,8234,24068,2402,1642.0,82.3,2.6,6.7,29.1,44.0,1559.7,370.1,1081.7,108.0
1963,KY,Kentucky,3095000,44481,2849,172,166.0,0.0,166,1109,1402,41632,13508,24159,3965,1437.2,92.1,5.6,5.4,35.8,45.3,1345.1,436.4,780.6,128.1
1963,LA,Louisiana,3418000,53142,5798,235,212.0,0.0,212,1446,3905,47344,13528,27046,6770,1554.7,169.6,6.9,6.2,42.3,114.2,1385.1,395.8,791.3,198.1
1963,ME,Maine,982000,11522,306,19,36.0,0.0,36,64,187,11216,2972,7246,998,1173.4,31.2,1.9,3.7,6.5,19.0,1142.2,302.6,737.9,101.6
1963,MD,Maryland,3289000,70452,5283,207,308.0,0.0,308,1721,3047,65169,15968,41387,7814,2142.0,160.6,6.3,9.4,52.3,92.6,1981.4,485.5,1258.3,237.6
1963,MA,Massachusetts,5218000,90056,3454,101,236.0,0.0,236,1409,1708,86602,23121,44382,19099,1725.9,66.2,1.9,4.5,27.0,32.7,1659.7,443.1,850.6,366.0
1963,MI,Michigan,8116000,241553,18478,283,1220.0,0.0,1220,8393,8582,223075,58884,145863,18328,2976.3,227.7,3.5,15.0,103.4,105.7,2748.6,725.5,1797.2,225.8
1963,MN,Minnesota,3500000,59392,1983,41,91.0,0.0,91,1186,665,57409,14160,38075,5174,1697.0,56.7,1.2,2.6,33.9,19.0,1640.3,404.6,1087.9,147.8
1963,MS,Mississippi,2290000,14904,1779,164,98.0,0.0,98,191,1326,13125,4259,7740,1126,650.8,77.7,7.2,4.3,8.3,57.9,573.1,186.0,338.0,49.2
1963,MO,Missouri,4328000,111044,8629,223,592.0,0.0,592,3788,4026,102415,28644,63370,10401,2565.7,199.4,5.2,13.7,87.5,93.0,2366.3,661.8,1464.2,240.3
1963,MT,Montana,707000,15249,414,14,59.0,0.0,59,146,195,14835,3380,9722,1733,2156.9,58.6,2.0,8.3,20.7,27.6,2098.3,478.1,1375.1,245.1
1963,NE,Nebraska,1460000,20893,591,29,102.0,0.0,102,227,233,20302,4290,14181,1831,1431.0,40.5,2.0,7.0,15.5,16.0,1390.5,293.8,971.3,125.4
1963,NV,Nevada,368000,16892,755,29,60.0,0.0,60,437,229,16137,4221,9441,2475,4590.3,205.2,7.9,16.3,118.8,62.2,4385.1,1147.0,2565.5,672.6
1963,NH,New Hampshire,627000,5840,164,20,30.0,0.0,30,43,71,5676,1751,3354,571,931.5,26.2,3.2,4.8,6.9,11.3,905.3,279.3,534.9,91.1
1963,NJ,New Jersey,6470000,122867,8849,181,561.0,0.0,561,3367,4740,114018,35993,61199,16826,1899.1,136.8,2.8,8.7,52.0,73.3,1762.3,556.3,945.9,260.1
1963,NM,New Mexico,1018000,24659,1376,57,124.0,0.0,124,385,810,23283,6080,14841,2362,2422.3,135.2,5.6,12.2,37.8,79.6,2287.1,597.2,1457.9,232.0
1963,NY,New York,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,NC,North Carolina,4760000,61915,10038,391,346.0,0.0,346,903,8398,51877,15948,30877,5052,1300.8,210.9,8.2,7.3,19.0,176.4,1089.9,335.0,648.7,106.1
1963,ND,North Dakota,634000,6590,182,13,22.0,0.0,22,61,86,6408,1207,4590,611,1039.4,28.7,2.1,3.5,9.6,13.6,1010.7,190.4,724.0,96.4
1963,OH,Ohio,10173000,177124,9086,306,617.0,0.0,617,4145,4018,168038,43898,109095,15045,1741.1,89.3,3.0,6.1,40.7,39.5,1651.8,431.5,1072.4,147.9
1963,OK,Oklahoma,2487000,48816,2808,129,200.0,0.0,200,997,1482,46008,13331,27904,4773,1962.8,112.9,5.2,8.0,40.1,59.6,1849.9,536.0,1122.0,191.9
1963,OR,Oregon,1826000,40362,1393,55,161.0,0.0,161,554,623,38969,8823,27023,3123,2210.4,76.3,3.0,8.8,30.3,34.1,2134.1,483.2,1479.9,171.0
1963,PA,Pennsylvania,11424000,140887,12678,268,930.0,0.0,930,4771,6709,128209,40089,69915,18205,1233.3,111.0,2.3,8.1,41.8,58.7,1122.3,350.9,612.0,159.4
1963,RI,Rhode Island,885000,17744,500,12,20.0,0.0,20,153,315,17244,4765,10081,2398,2005.0,56.5,1.4,2.3,17.3,35.6,1948.5,538.4,1139.1,271.0
1963,SC,South Carolina,2483000,45454,4075,249,150.0,0.0,150,536,3140,41379,14288,23783,3308,1830.6,164.1,10.0,6.0,21.6,126.5,1666.5,575.4,957.8,133.2
1963,SD,South Dakota,737000,8230,278,9,39.0,0.0,39,78,152,7952,1818,5458,676,1116.7,37.7,1.2,5.3,10.6,20.6,1079.0,246.7,740.6,91.7
1963,TN,Tennessee,3694000,54458,3777,239,247.0,0.0,247,1048,2243,50681,19056,25503,6122,1474.2,102.2,6.5,6.7,28.4,60.7,1372.0,515.9,690.4,165.7
1963,TX,Texas,10323000,231576,17511,760,1008.0,0.0,1008,3700,12043,214065,62867,133454,17744,2243.3,169.6,7.4,9.8,35.8,116.7,2073.7,609.0,1292.8,171.9
1963,UT,Utah,983000,23517,598,24,77.0,0.0,77,225,272,22919,4916,16177,1826,2392.3,60.8,2.4,7.8,22.9,27.7,2331.5,500.1,1645.7,185.8
1963,VT,Vermont,390000,4334,92,2,33.0,0.0,33,27,30,4242,1614,2167,461,1111.3,23.6,0.5,8.5,6.9,7.7,1087.7,413.8,555.6,118.2
1963,VA,Virginia,4331000,80937,8259,307,415.0,0.0,415,1267,6270,72678,19536,47339,5803,1868.8,190.7,7.1,9.6,29.3,144.8,1678.1,451.1,1093.0,134.0
1963,WA,Washington,3050000,73085,2034,76,196.0,0.0,196,914,848,71051,16134,49490,5427,2396.2,66.7,2.5,6.4,30.0,27.8,2329.5,529.0,1622.6,177.9
1963,WV,West Virginia,1778000,13688,1185,95,74.0,0.0,74,260,756,12503,4023,7164,1316,769.8,66.6,5.3,4.2,14.6,42.5,703.2,226.3,402.9,74.0
1963,WI,Wisconsin,4061000,54702,1312,70,115.0,0.0,115,393,734,53390,9584,38919,4887,1347.0,32.3,1.7,2.8,9.7,18.1,1314.7,236.0,958.4,120.3
